id,fileName,filePath,fileUrl,description,tags,year,tournamentId,createdAt,updatedAt
a821ae33-0e8a-4c5c-974e-90832b7a4bf4,f9c50ce06bbec78117cef0100.jpg,/uploads/gallery/f9c50ce06bbec78117cef0100.jpg,http://localhost:3000/uploads/gallery/f9c50ce06bbec78117cef0100.jpg,,,2025,6b5eaadf-9d01-4f1a-b3ba-da96688aafc2,2025-04-15 13:10:06.445000,2025-04-15 13:10:06.445000
b593f118-5273-4d88-9ebb-be3c45be2a7b,f9c50ce06bbec78117cef0101.jpg,/uploads/gallery/f9c50ce06bbec78117cef0101.jpg,http://localhost:3000/uploads/gallery/f9c50ce06bbec78117cef0101.jpg,test upload,,2025,6b5eaadf-9d01-4f1a-b3ba-da96688aafc2,2025-04-15 13:12:19.974000,2025-04-15 13:12:19.974000
8ca70426-00f9-48c3-b2c0-4b7ab82cf5c2,f9c50ce06bbec78117cef0102.jpg,/uploads/gallery/f9c50ce06bbec78117cef0102.jpg,http://localhost:3000/uploads/gallery/f9c50ce06bbec78117cef0102.jpg,test upload,,2025,6b5eaadf-9d01-4f1a-b3ba-da96688aafc2,2025-04-15 13:12:19.979000,2025-04-15 13:12:19.979000
